Customer Name,Region,Sum of Sales,Sum of Profit,Segment
Barry Blumstein,Central,374.076,-8.216,Corporate
Barry Blumstein,East,17.48,1.311,Corporate
Barry Blumstein,West,352.784,18.4889,Corporate
Barry Franz,Central,327.42,-388.28,Home Office
Barry Franz,West,1006.46,96.8989,Home Office
Barry Französisch,Central,1026.57,-11.5865,Corporate
Barry Französisch,East,1035.8,269.308,Corporate
Barry Französisch,South,269.4,-20.9436,Corporate
Barry Französisch,West,556.736,65.2421,Corporate
Barry Gonzalez,Central,244.472,-15.2392,Consumer
Barry Gonzalez,South,2554.476,-696.1882,Consumer
Barry Pond,Central,24.04,-0.378,Corporate
Barry Pond,East,926.08,197.096,Corporate
Barry Pond,West,33.3,13.065,Corporate
Barry Weirich,East,339.364,-70.4015,Consumer
Barry Weirich,South,46.152,12.1149,Consumer
Bart Folk,East,258.28,106.9663,Consumer
Bart Folk,South,14.67,3.9609,Consumer
Bart Pistole,Central,108.438,-31.3596,Corporate
Bart Pistole,East,1153.906,265.0332,Corporate
Bart Pistole,South,104.338,19.1318,Corporate
Bart Pistole,West,1075.362,181.1697,Corporate
Bart Watters,Central,3163.534,672.5592,Corporate
Bart Watters,East,342.49,129.378,Corporate
Bart Watters,South,39.252,-9.7101,Corporate
Bart Watters,West,1205.082,129.0303,Corporate
Becky Castell,Central,340.116,-9.7176,Home Office
Becky Castell,East,669.378,137.1876,Home Office
Becky Castell,West,1924.182,124.1274,Home Office
Becky Martin,Central,10539.896,-1878.7892,Consumer
Becky Martin,East,611.028,90.6378,Consumer
Becky Martin,West,638.706,128.1933,Consumer
Becky Pak,East,530.695,194.0583,Consumer
Becky Pak,South,18.84,7.9128,Consumer
Becky Pak,West,1148.326,445.4136,Consumer
Ben Ferrer,Central,260.992,12.1052,Home Office
Ben Ferrer,East,1851.232,435.9575,Home Office
Ben Ferrer,South,1803.934,819.3965,Home Office
Ben Ferrer,West,1991.814,270.7535,Home Office
Ben Peterman,Central,1344.813,52.0985,Corporate
Ben Peterman,East,1241.812,134.345,Corporate
Ben Peterman,South,6.992,0.5244,Corporate
Ben Peterman,West,1082.244,176.6312,Corporate
Ben Wallace,Central,12.176,-18.8728,Consumer
Ben Wallace,East,511.522,98.0073,Consumer
Ben Wallace,South,306.532,81.098,Consumer
Ben Wallace,West,908.176,86.7648,Consumer
Benjamin Farhat,Central,748.556,178.7966,Home Office
Benjamin Farhat,East,56.52,21.4776,Home Office
Benjamin Farhat,West,780.086,322.9391,Home Office
Benjamin Patterson,Central,12.86,6.0452,Consumer
Benjamin Patterson,East,1022.97,-255.7425,Consumer
Benjamin Patterson,West,145.66,52.4278,Consumer
Benjamin Venier,Central,340.22,105.9391,Corporate
Benjamin Venier,East,405.3,110.9779,Corporate
Benjamin Venier,South,744.353,82.2724,Corporate
Benjamin Venier,West,33.4,16.032,Corporate
Berenike Kampe,Central,314.55,-180.1676,Consumer
Berenike Kampe,East,163.62,51.1464,Consumer
Berenike Kampe,West,180.968,65.2568,Consumer
Beth Fritzler,South,403.286,37.9998,Corporate
Beth Fritzler,West,388.704,-12.1296,Corporate
Beth Paige,Central,510.286,-110.8121,Consumer
Beth Paige,East,508.023,-190.3206,Consumer
Beth Paige,South,370.184,2.0358,Consumer
Beth Paige,West,1086.664,-19.9668,Consumer
Beth Thompson,Central,17.12,4.9648,Home Office
Beth Thompson,West,2550.536,412.627,Home Office
Bill Donatelli,Central,2924.55,901.6755,Consumer
Bill Donatelli,East,562.495,17.266,Consumer
Bill Donatelli,West,2231.476,175.5622,Consumer
Bill Eplett,Central,3501.896,1241.4347,Home Office
Bill Eplett,East,490.94,170.0768,Home Office
Bill Eplett,West,211.84,76.2624,Home Office
Bill Overfelt,Central,1655.13,378.957,Corporate
Bill Overfelt,East,504.506,-164.4722,Corporate
Bill Overfelt,West,523.092,64.2922,Corporate
Bill Shonely,Central,64.59,24.2049,Corporate
Bill Shonely,East,10022.293,2558.5802,Corporate
Bill Shonely,South,344.91,10.3473,Corporate
Bill Shonely,West,69.86,22.932,Corporate
Bill Stewart,Central,12.624,3.945,Corporate
Bill Stewart,East,1716.646,285.2692,Corporate
Bill Stewart,West,2158.564,-306.7464,Corporate
Bill Tyler,Central,1384.81,205.9367,Corporate
Bill Tyler,East,20.451,-1.1835,Corporate
Bill Tyler,West,781.352,53.1631,Corporate
Bobby Elias,Central,1918.326,635.0619,Consumer
Bobby Elias,East,30.352,10.6232,Consumer
Bobby Elias,South,251.64,88.074,Consumer
Bobby Elias,West,61.12,22.156,Consumer
Bobby Odegard,East,6.08,2.0672,Consumer
Bobby Odegard,South,124.75,57.385,Consumer
Bobby Trafton,Central,91.534,33.6506,Consumer
Bobby Trafton,East,440.048,-12.3744,Consumer
Bobby Trafton,West,72.294,-98.8018,Consumer
Brad Eason,Central,188.32,54.9304,Home Office
Brad Eason,East,1539.332,84.2704,Home Office
Brad Norvell,Central,49.616,4.9616,Corporate
Brad Norvell,East,12.576,4.0872,Corporate
Brad Norvell,South,192.424,24.6807,Corporate
Brad Norvell,West,10.68,2.8836,Corporate
Brad Thomas,East,415.196,126.8694,Home Office
Bradley Drucker,Central,813.174,309.0769,Consumer
Bradley Drucker,South,3228.09,859.8218,Consumer
Bradley Drucker,West,369.979,-26.7762,Consumer
Bradley Nguyen,Central,249.92,108.1918,Consumer
Bradley Nguyen,East,936.124,151.839,Consumer
Bradley Nguyen,West,273.3,80.6746,Consumer
Bradley Talbott,East,381.952,51.8915,Home Office
Bradley Talbott,West,2302.54,357.6068,Home Office
Brenda Bowman,Central,1971.91,332.9673,Corporate
Brenda Bowman,East,2256.75,471.378,Corporate
Brenda Bowman,South,1158.12,130.2885,Corporate
Brenda Bowman,West,1378.948,80.4412,Corporate
Brendan Dodson,South,151.96,36.4704,Home Office
Brendan Dodson,West,168.58,80.2436,Home Office
Brendan Murry,Central,219.636,-55.0725,Corporate
Brendan Murry,East,545.136,142.8734,Corporate
Brendan Murry,West,43.39,7.7807,Corporate
Brendan Sweed,Central,33.4,12.358,Corporate
Brendan Sweed,East,438.576,26.6619,Corporate
Brendan Sweed,South,701.96,168.4704,Corporate
Brendan Sweed,West,1280.992,174.2904,Corporate
Brian Dahlen,East,192.986,10.434,Consumer
Brian Dahlen,South,910.454,281.4785,Consumer
Brian Dahlen,West,2185.031,342.9338,Consumer
Brian DeCherney,Central,582.07,78.0919,Consumer
Brian DeCherney,East,148.128,-14.932,Consumer
Brian DeCherney,South,310.688,108.7408,Consumer
Brian DeCherney,West,497.224,34.8562,Consumer
Brian Derr,East,511.646,113.844,Consumer
Brian Derr,South,71,27.69,Consumer
Brian Moss,Central,3249.753,1012.1517,Corporate
Brian Moss,East,3524.449,1135.1148,Corporate
Brian Moss,West,519.983,52.0116,Corporate
Brian Stugart,Central,1328.128,62.2692,Consumer
Brian Stugart,East,86.376,1.0797,Consumer
Brian Stugart,West,1873.606,175.3879,Consumer
Brian Thompson,Central,1002.29,-199.211,Consumer
Brian Thompson,East,1283.396,494.0936,Consumer
Brian Thompson,South,19.104,5.7312,Consumer
Brian Thompson,West,891.962,147.1346,Consumer
Brooke Gillingham,Central,878.778,-4.0888,Corporate
Brooke Gillingham,East,966.066,107.9943,Corporate
Brooke Gillingham,West,29.328,3.666,Corporate
Brosina Hoffman,Central,830.038,-57.1373,Consumer
Brosina Hoffman,East,1130.298,428.0279,Consumer
Brosina Hoffman,South,580.711,131.1305,Consumer
Brosina Hoffman,West,3714.304,300.7687,Consumer
Bruce Degenhardt,East,46.72,17.52,Consumer
Bruce Degenhardt,South,1294.83,276.0275,Consumer
Bruce Degenhardt,West,184.95,40.4316,Consumer
Bruce Geld,Central,10.784,0.8088,Consumer
Bruce Geld,East,60.312,5.2773,Consumer
Bruce Geld,South,9.912,3.2214,Consumer
Bruce Geld,West,925.348,110.0404,Consumer
Bruce Stewart,Central,933.95,82.9499,Consumer
Bruce Stewart,East,1011.572,-140.589,Consumer
Bruce Stewart,West,616.86,-55.6593,Consumer
Bryan Davis,Central,86.352,5.397,Consumer
Bryan Davis,East,428.874,73.9058,Consumer
Bryan Davis,West,143.24,61.9622,Consumer
Bryan Mills,Central,895.888,147.6818,Consumer
Bryan Mills,East,175.466,-34.2628,Consumer
Bryan Mills,South,209.384,20.8968,Consumer
Bryan Mills,West,58.104,3.4281,Consumer
Bryan Spruell,East,760.8,116.9461,Home Office
Bryan Spruell,West,188.63,77.1055,Home Office
Candace McMahon,Central,70.304,25.226,Corporate
Candace McMahon,West,1603.584,189.237,Corporate
Cari Sayre,Central,18.42,-27.63,Corporate
Cari Sayre,West,1260.534,213.0076,Corporate
Cari Schnelling,Central,1.72,-2.838,Consumer
Cari Schnelling,East,30.584,9.4813,Consumer
Cari Schnelling,South,505.328,99.1842,Consumer
Carl Jackson,East,16.52,1.652,Corporate
Carl Ludwig,Central,123.552,-29.3436,Consumer
Carl Ludwig,East,1121.722,353.0759,Consumer
Carl Ludwig,West,16.74,4.3524,Consumer
Carl Weiss,Central,142.344,17.154,Home Office
Carl Weiss,East,899.82,310.1022,Home Office
Carl Weiss,West,94.428,43.5736,Home Office
Carlos Daly,Central,152.52,46.9392,Consumer
Carlos Daly,East,1584.568,355.756,Consumer
Carlos Daly,West,296.88,23.9658,Consumer
Carlos Meador,South,530.272,-56.9024,Consumer
Carlos Meador,West,35.12,13.17,Consumer
Carlos Soltero,Central,87.312,-11.9744,Consumer
Carlos Soltero,East,1316.653,-272.1951,Consumer
Carlos Soltero,South,11.68,5.256,Consumer
Carlos Soltero,West,1620.902,152.4912,Consumer
Carol Adams,Central,850.4608,137.7012,Corporate
Carol Adams,East,2024.408,908.8444,Corporate
Carol Adams,South,22.63,7.6137,Corporate
Carol Adams,West,892.224,89.2224,Corporate
Carol Darley,Central,296.022,-364.3734,Consumer
Carol Darley,East,318.96,149.9112,Consumer
Carol Darley,West,24.784,7.745,Consumer
Carol Triggs,Central,746.35,-110.5579,Consumer
Carol Triggs,East,1586.332,100.318,Consumer
Carol Triggs,West,909.216,171.4662,Consumer
Caroline Jumper,Central,1875.128,-98.0704,Consumer
Caroline Jumper,East,5441.576,1382.961,Consumer
Caroline Jumper,South,3740.51,-457.7308,Consumer
Caroline Jumper,West,107.76,31.5816,Consumer
Cassandra Brandow,Central,2903.213,-556.9837,Consumer
Cassandra Brandow,East,408.614,180.7006,Consumer
Cassandra Brandow,South,307.82,44.362,Consumer
Cassandra Brandow,West,2456.492,482.13,Consumer
Catherine Glotzbach,Central,18.24,8.5728,Home Office
Catherine Glotzbach,East,566.932,45.7322,Home Office
Catherine Glotzbach,South,307.536,26.4432,Home Office
Catherine Glotzbach,West,11.76,5.7624,Home Office
Cathy Armstrong,Central,348.556,16.945,Home Office
Cathy Armstrong,East,314.984,39.5337,Home Office
Cathy Armstrong,West,1016.184,154.7772,Home Office
Cathy Hwang,Central,299.9,74.975,Home Office
Cathy Hwang,East,109.36,-6.7212,Home Office
Cathy Hwang,South,1127.976,126.8973,Home Office
Cathy Prescott,Central,4697.37,221.6294,Corporate
Cathy Prescott,East,187.208,77.1246,Corporate
Cathy Prescott,South,232.624,25.8328,Corporate
Cathy Prescott,West,285.052,102.439,Corporate
Chad Cunningham,Central,287.38,57.7154,Home Office
Chad Cunningham,East,170.265,6.3712,Home Office
Chad Cunningham,West,1313.3,144.5046,Home Office
Chad McGuire,East,800.04,228.345,Consumer
Chad McGuire,West,861.57,180.7229,Consumer
Chad Sievert,Central,88.8,-2.22,Consumer
Chad Sievert,West,795.84,146.0539,Consumer
Charles Crestani,Central,89.82,11.0484,Consumer
Charles Crestani,West,2381.83,381.2341,Consumer
Charles McCrossin,Central,1.744,-0.3488,Consumer
Charles McCrossin,East,528.05,-68.4478,Consumer
Charles McCrossin,West,2003.52,-325.572,Consumer
Charles Sheldon,Central,9.99,4.4955,Corporate
Charles Sheldon,East,196.21,98.105,Corporate
Charles Sheldon,South,87.22,7.906,Corporate
Charles Sheldon,West,551.038,2.634,Corporate
Charlotte Melton,Central,822.052,68.3188,Consumer
Charlotte Melton,East,131.292,10.1121,Consumer
Charlotte Melton,West,521.8,12.7724,Consumer
Chloris Kastensmidt,Central,441.256,-28.3211,Consumer
Chloris Kastensmidt,East,1133.951,-71.6486,Consumer
Chloris Kastensmidt,South,193.152,34.6984,Consumer
Chloris Kastensmidt,West,1386.496,206.5544,Consumer
Chris Cortes,Central,1085.052,-48.9357,Consumer
Chris Cortes,East,1931.176,236.9031,Consumer
Chris Cortes,South,78.08,36.5648,Consumer
Chris Cortes,West,819.11,169.4296,Consumer
Chris McAfee,Central,1426.884,63.8127,Consumer
Chris McAfee,East,698.5,229.7008,Consumer
Chris McAfee,South,140.52,67.5444,Consumer
Chris McAfee,West,39.808,3.9808,Consumer
Chris Selesnick,Central,108.496,48.9456,Corporate
Chris Selesnick,East,64.96,9.744,Corporate
Chris Selesnick,South,1829.6,437.4074,Corporate
Chris Selesnick,West,751.16,242.2656,Corporate
Christina Anderson,Central,339.1612,-110.054,Consumer
Christina Anderson,East,401.94,118.3554,Consumer
Christina Anderson,South,356.226,6.5689,Consumer
Christina Anderson,West,1550.96,264.748,Consumer
Christina DeMoss,East,796.036,118.909,Consumer
Christina DeMoss,West,409.548,114.1184,Consumer
Christina VanderZanden,Central,1614.236,252.2686,Consumer
Christina VanderZanden,East,147.26,51.9779,Consumer
Christina VanderZanden,West,1069.132,188.8396,Consumer
Christine Abelman,Central,376.64,2.098,Corporate
Christine Abelman,East,550.014,115.1458,Corporate
Christine Abelman,West,495.3,128.778,Corporate
Christine Kargatis,East,1448.853,-127.2337,Home Office
Christine Kargatis,South,1355.76,344.0648,Home Office
Christine Kargatis,West,140.708,44.3898,Home Office
Christine Phan,East,4164.988,-812.8664,Corporate
Christine Phan,South,1475.199,-1065.7493,Corporate
Christine Phan,West,248.088,28.3128,Corporate
Christine Sundaresam,East,877.092,169.2352,Consumer
Christine Sundaresam,South,1910.98,617.8952,Consumer
Christine Sundaresam,West,414.09,44.8128,Consumer
Christopher Conant,Central,1.248,-1.9344,Consumer
Christopher Conant,East,8765.66,1190.5972,Consumer
Christopher Conant,South,225.296,22.5296,Consumer
Christopher Conant,West,3136.868,965.8569,Consumer
Christopher Martinez,Central,240.368,16.8148,Consumer
Christopher Martinez,South,6682.26,3197.458,Consumer
Christopher Martinez,West,2031.392,685.6176,Consumer
Christopher Schild,Central,258.756,-35.3959,Home Office
Christopher Schild,East,743.988,-123.998,Home Office
Christopher Schild,South,1735.8505,-361.5705,Home Office
Christopher Schild,West,913.264,178.1611,Home Office
Christy Brittain,Central,117.54,-67.5405,Consumer
Christy Brittain,East,1771.67,318.3324,Consumer
Christy Brittain,West,59.99,21.5964,Consumer
Chuck Clark,Central,249.58,72.2598,Home Office
Chuck Clark,East,1675.89,375.6329,Home Office
Chuck Clark,West,944.58,-23.2344,Home Office
Chuck Magee,Central,132.95,9.2561,Consumer
Chuck Magee,West,155.04,55.1735,Consumer
Chuck Sachs,East,238.684,72.9897,Consumer
Chuck Sachs,South,311.96,83.2696,Consumer
Cindy Chapman,Central,587.978,-47.0166,Consumer
Cindy Chapman,East,318.1,116.1948,Consumer
Cindy Chapman,West,753.36,85.6728,Consumer
Cindy Schnelling,Central,111.672,6.9795,Corporate
Cindy Schnelling,East,403.264,-54.2681,Corporate
Cindy Schnelling,South,562.2925,-255.5875,Corporate
Cindy Stewart,East,5016.549,-6892.3748,Consumer
Cindy Stewart,South,448.136,195.9453,Consumer
Cindy Stewart,West,225.37,70.04,Consumer
Claire Gute,Central,154.88,-91.5612,Consumer
Claire Gute,South,993.9,261.4956,Consumer
Claudia Bergmann,East,1925.582,550.2424,Corporate
Claudia Bergmann,South,853.266,341.5154,Corporate
Claudia Bergmann,West,1467.6075,157.8023,Corporate
Clay Cheatham,Central,10.368,3.6288,Consumer
Clay Cheatham,West,103.464,30.2418,Consumer
Clay Ludtke,Central,1909.08,559.8408,Consumer
Clay Ludtke,East,2546.922,465.8557,Consumer
Clay Ludtke,South,354.9,17.745,Consumer
Clay Ludtke,West,6069.644,890.3416,Consumer
Clay Rozendal,Central,240.04,-45.6933,Home Office
Clay Rozendal,East,10.528,3.6848,Home Office
Clay Rozendal,West,1898.284,116.4098,Home Office
Clytie Kelty,Central,12.128,-20.6176,Consumer
Clytie Kelty,East,899.182,4.6858,Consumer
Clytie Kelty,South,1383.91,485.1869,Consumer
Clytie Kelty,West,77.53,28.4547,Consumer
Corey Catlett,Central,61.792,6.1792,Corporate
Corey Catlett,East,267.349,32.4848,Corporate
Corey Catlett,South,1983.832,473.0325,Corporate
Corey Catlett,West,227.658,-180.2625,Corporate
Corey Roper,Central,19.44,9.5256,Home Office
Corey Roper,East,334.68,104.7888,Home Office
Corey Roper,South,121.78,30.445,Home Office
Corey-Lock,Central,538.388,140.647,Consumer
Corey-Lock,East,5.04,1.764,Consumer
Corey-Lock,South,191.88,19.188,Consumer
Corey-Lock,West,564.768,44.0292,Consumer
Corinna Mitchell,Central,449.0496,-43.8962,Home Office
Corinna Mitchell,East,3999.79,1366.8625,Home Office
Corinna Mitchell,South,23.34,0.2334,Home Office
Corinna Mitchell,West,1867.378,249.2588,Home Office
Craig Carreira,Central,139.638,29.8578,Consumer
Craig Carreira,East,259.44,19.7043,Consumer
Craig Carreira,South,619.848,11.2614,Consumer
Craig Carreira,West,1250.7755,127.0164,Consumer
Craig Carroll,Central,546.792,172.1543,Consumer
Craig Carroll,East,1884.144,592.242,Consumer
Craig Carroll,South,423.179,85.7628,Consumer
Craig Leslie,Central,8.76,4.2048,Home Office
Craig Leslie,East,449.91,157.4685,Home Office
